answer	qid
Louisiana	blogs-03-1
The storm	blogs-03-2
Winds	blogs-03-3
President Bush	blogs-03-4
in Louisiana	blogs-03-5
The narrator went back to a store named Home Depot in order to purchase a portable generator .	blogs-03-6
had a large group of pine trees	blogs-03-7
because it owned a group of trees	blogs-03-8
The narrator began to be concerned because -- if the first tree were to later fall , and were to later fall on the house of the narrator -- the house of the narrator would have begun to be damaged , and the family of the narrator would begin to be wounded .	blogs-03-9
The narrator	blogs-03-10
An area of a neighborhood of the narrator	blogs-03-11
The tree	blogs-03-12
The narrator	blogs-03-13
were	blogs-03-14
My wife , our five children , and our dog ,	blogs-03-15
on a branch of a tree with a piece of cheese in her beak	fables-01-1
observed her	fables-01-2
A Crow	fables-01-3
observed the crow	fables-01-4
The fox came and stood under the tree .	fables-01-5
was a crow	fables-01-6
The crow	fables-01-7
was a crow	fables-01-8
in the beak of the crow	fables-01-9
A Crow	fables-01-10
A fox	fables-01-11
The fox	fables-01-12
The crow felt that the fox had flattered her and cawed loudly in order for she to show him that she was able to sing .	fables-01-13
A Lion	fables-02-1
The Bull	fables-02-2
There once was a fat bull .	fables-02-3
The bull	fables-02-4
A lion	fables-02-5
The lion	fables-02-6
my dear friend , what in the world makes you	fables-02-7
my dear friend , what in the world makes you	fables-02-8
watched the bull	fables-02-9
because the lion feared sharp every horn of the bull	fables-02-10
attack the bull because the lion feared sharp every horn of the bull	fables-02-11
makes you	fables-02-12
A lion	fables-02-13
because the lion wanted to eat the bull	fables-02-14
advised the bull to remove every horn of the bull because every horn of the bull was ugly	fables-02-15
because every horn of the bull was ugly	fables-02-16
kill the bull	fables-02-17
The lion	fables-02-18
A summit meeting named G20 summit started on eventful today .	blogs-01-1
named G20 summit	blogs-01-2
The people protested peacefully on a street .	blogs-01-3
burned a police car	blogs-01-4
The people	blogs-01-5
The people	blogs-01-6
burned a police car	blogs-01-7
The people	blogs-01-8
The people burned a police car and threw a thing at a police .	blogs-01-9
burned	blogs-01-10
smash windows of stores	blogs-01-11
smash windows of stores	blogs-01-12
smash windows of stores	blogs-01-13
The police	blogs-01-14
things	blogs-01-15
because it disagreed about a view	blogs-01-16
rebelled	blogs-01-17
Police were in full riot gear to alleviate the violence .	blogs-01-18
A Fox	fables-04-1
invited a Stork to dinner , at which the only fare provided was a large flat dish of soup	fables-04-2
The fox only served some soup in a flat and large dish .	fables-04-3
A clever fox	fables-04-4
The fox only served some soup in a flat and large dish .	fables-04-5
because he was n't able to reach some food that was in the pitcher	fables-04-6
fitted the long bill of the stork into the long and narrow neck of the pitcher	fables-04-7
while she enjoyed her dinner	fables-04-8
lapped it up with great relish	fables-04-9
The stork	fables-04-10
fitted the long bill of the stork into the long and narrow neck of the pitcher	fables-04-11
invited a stork to dine	fables-04-12
served some soup in a flat and large dish	fables-04-13
The young man died on the spot of the yard of the narrator .	blogs-02-1
The young man died on the spot of the yard of the narrator .	blogs-02-2
I	blogs-02-3
because it wanted the young man to know the narrator regretting that it had not aided him	blogs-02-4
The narrator entered the house of the narrator and heard that the asleep family of the narrator was asleep .	blogs-02-5
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man .	blogs-02-6
my logical mind	blogs-02-7
A young man	blogs-02-8
The narrator	blogs-02-9
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man .	blogs-02-10
was an orb	blogs-02-11
saw some bright flash in a group of trees that was above the narrator	blogs-02-12
A few years ago , a young man died out on my front lawn when he crashed his motorbike .	blogs-02-13
A young man long ago crashed the motorbike of the young man on the front yard of a narrator and broke the neck of the young man .	blogs-02-14
A young man	blogs-02-15
The narrator	blogs-02-16
The squirrel	blogs-04-1
The squirrel	blogs-04-2
The squirrel 's paw	blogs-04-3
bathed themselves in the bowl	blogs-04-4
Squirrels	blogs-04-5
I	blogs-04-6
is one of those times I wish I had a digital camera	blogs-04-7
the day	blogs-04-8
The birds literally line up on the railing and wait their turn .	blogs-04-9
The narrator placed the bowl on the deck in order for Benjamin to drink the bowl 's water .	blogs-04-10
The squirrels drank the bowl 's water .	blogs-04-11
The narrator placed the bowl on the deck in order for Benjamin to drink the bowl 's water .	blogs-04-12
The birds organized themselves on the deck 's railing in order for the birds to wait .	blogs-04-13
keep a large stainless steel bowl of water outside on the back deck for Benjamin to drink out of when he 's playing outside	blogs-04-14
An Eagle	fables-03-1
An Eagle	fables-03-2
seized it in his talons with the intention of carrying it off and devouring it	fables-03-3
A countryman , who was a witness of the encounter ,	fables-03-4
An eagle swooped toward a serpent and seized it in order for he to devour it .	fables-03-5
The serpent spat some poison in the drinking vessel .	fables-03-6
The countryman	fables-03-7
The eagle	fables-03-8
spilled the drinking vessel	fables-03-9
Heated with his exertions , the man was about to slake his thirst with a draught from the horn , when the Eagle knocked it out of his hand , and spilled its contents upon the ground .	fables-03-10
slake his thirst with a draught from the horn , when the Eagle knocked it out of his hand , and spilled its contents upon the ground	fables-03-11
the Serpent spat some of his poison into the man 's drinking-horn	fables-03-12
An Eagle	fables-03-13
The eagle fought with the serpent , and the serpent coiled around him .	fables-03-14
A countryman , who was a witness of the encounter ,	fables-03-15
A countryman , who was a witness of the encounter ,	fables-03-16
owned a drinking vessel	fables-03-17
A countryman , who was a witness of the encounter ,	fables-03-18
owned a drinking vessel	fables-03-19
The serpent spat some poison in the drinking vessel .	fables-03-20
his exertions	fables-03-21
Alyssa got to the beach after a long trip .	mc500.train.0.1
ordered a salad	mc500.train.0.2
Kristin	mc500.train.0.3
to the beach	mc500.train.0.4
spend time with her friends again	mc500.train.0.5
because they were tired	mc500.train.0.6
The girls	mc500.train.0.7
she	mc500.train.0.8
enjoyed the restaurant 's special	mc500.train.0.9
called her friends Kristin and Rachel to meet at Ellen 's house	mc500.train.0.10
to a restaurant	mc500.train.0.11
at Ellen 's house	mc500.train.0.12
had some lemonade to drink	mc500.train.0.13
eating	mc500.train.0.14
Alyssa was happy to spend time with her friends again .	mc500.train.0.15
After going swimming and laying out , she went to her friend Ellen 's house .	mc500.train.0.16
It was Saturday afternoon and Andrew was bored .	mc500.train.23.1
watching TV all day	mc500.train.23.2
outside the window	mc500.train.23.3
saw the newspaper by the door	mc500.train.23.4
On the front was a picture of an elephant .	mc500.train.23.5
He had been watching TV all day .	mc500.train.23.6
read the story	mc500.train.23.7
in town	mc500.train.23.8
Andrew had never been to the circus .	mc500.train.23.9
can	mc500.train.23.10
The people and animals at the circus	mc500.train.23.11
Andrew 's dad	mc500.train.23.12
Andrew and his dad had a lot of fun at the circus .	mc500.train.23.13
Andrew 's dad said , `` I think the newspaper is here .	mc500.train.23.14
Andrew and his dad read the story .	mc500.train.23.15
Andrew 's dad	mc500.train.23.16
Andrew 's dad said , `` I think the newspaper is here .	mc500.train.23.17
The elephant	mc500.train.23.18
did lots of tricks	mc500.train.23.19
asked his dad , `` Can we go ? ''	mc500.train.23.20
Andrew	mc500.train.23.21
Andrew and his dad	mc500.train.23.22
Kelly woke up one morning and went outside to her back yard .	mc500.train.18.1
Kelly woke up one morning and went outside to her back yard .	mc500.train.18.2
Kelly	mc500.train.18.3
give her mom the biggest , most beautiful bunch of flowers her mother had ever seen	mc500.train.18.4
Kelly	mc500.train.18.5
collected all of the flowers	mc500.train.18.6
in her yard	mc500.train.18.7
After Kelly collected all of the flowers , she went inside and tied them together with string .	mc500.train.18.8
Kelly woke up one morning and went outside to her back yard .	mc500.train.18.9
Kelly	mc500.train.18.10
Finally , her mother woke up at 8:30 AM , and Kelly was excited !	mc500.train.18.11
